Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center,Probability of shape mode 1,Probability of shape mode 2,Probability of shape mode 3,Probability of shape mode 4,Probability of shape mode 5
xy015c1.tiff,15,2,391,638,5742,339.46298679765215,129.7290818170829,59.7203603072904,0.6261641454432731,2.172275604995741,3.0,2.3,0.1869,0.1881,0.2611,0.1733,0.1906
xy015c1.tiff,15,3,376,855,20895,722.6955262170047,189.75507251715786,154.11134640593858,0.5027377613981929,1.2312855408928267,1.0,2.81,0.1749,0.2106,0.1911,0.2363,0.1871
xy016c1.tiff,16,1,695,537,4397,363.1614716074871,94.97990282998184,68.53773984862309,0.4189544378034256,1.3858044201597637,2.0,4.46,0.2222,0.198,0.1769,0.2006,0.2023
xy016c1.tiff,16,2,795,572,6323,387.3685783886737,109.90505036139429,79.06123152139517,0.5295223144065835,1.3901257069547712,2.0,3.52,0.2389,0.1865,0.1738,0.1996,0.2013
xy017c1.tiff,17,1,1030,76,4651,318.8772003600252,88.73930763789551,68.52116030418328,0.5747900832484354,1.2950642873523828,3.0,3.59,0.1896,0.1957,0.2139,0.2111,0.1896
xy017c1.tiff,17,2,81,227,6628,365.11984104714446,117.01213669559414,76.07520830553506,0.6247719116936393,1.5381112888399493,4.0,1.67,0.1737,0.2426,0.1997,0.1828,0.2011
xy017c1.tiff,17,3,512,306,7376,339.747258045114,101.80568298358489,93.61853519766164,0.8030061126668449,1.087452209849655,1.0,2.61,0.1874,0.1909,0.1807,0.2609,0.1801
xy017c1.tiff,17,4,1019,598,8780,696.3462838120872,190.4952146675943,84.16049806786225,0.22753795757209544,2.263475371949317,4.0,4.71,0.2175,0.2362,0.1875,0.1639,0.1949
xy017c1.tiff,17,5,855,623,8768,472.8782463805517,142.4121057117804,87.95520481344965,0.4927330954422751,1.6191435858040717,4.0,2.84,0.1795,0.2415,0.1869,0.1791,0.213
xy017c1.tiff,17,6,338,750,9156,613.3401871576772,147.27877994100876,87.37572891093154,0.3058530426608286,1.685579986304215,5.0,6.16,0.1922,0.1938,0.1919,0.2011,0.221
xy018c1.tiff,18,1,808,126,9324,444.4518395093589,146.77213752540086,82.79060694915772,0.5931475117131395,1.7728114690055918,4.0,1.85,0.2062,0.2278,0.2002,0.1788,0.1869
xy018c1.tiff,18,2,517,174,7040,431.30360723121805,122.06725218595815,83.43795736561157,0.4755720715907044,1.4629702840288783,4.0,3.38,0.1834,0.223,0.189,0.2189,0.1858
xy018c1.tiff,18,3,870,264,12366,602.097546470558,155.52110251732728,119.61958600632737,0.42865252986880736,1.3001307537471405,2.0,3.72,0.2569,0.1648,0.1723,0.2127,0.1932
xy018c1.tiff,18,4,1114,273,7074,392.4335495461292,133.89172203235896,72.9785962420064,0.5772217170257515,1.8346711080651208,4.0,2.19,0.1913,0.2409,0.2185,0.1653,0.184
xy018c1.tiff,18,5,928,513,10485,462.29751057680807,136.61763028176284,105.26662855750328,0.616502992778235,1.297824696714151,1.0,2.88,0.1752,0.1976,0.2028,0.2371,0.1874
xy018c1.tiff,18,6,701,897,7274,373.26197667087547,137.11909163808028,71.78208193753369,0.6560782757581363,1.9102133559932728,3.0,2.45,0.199,0.2154,0.2329,0.177,0.1757
xy019c1.tiff,19,1,487,636,2901,203.82337649086284,64.05501780752672,57.85592326403108,0.8775050194199688,1.1071471025569064,1.0,1.89,0.1796,0.1759,0.1696,0.291,0.1838
xy019c1.tiff,19,2,338,762,9244,440.20310216782974,132.5964116843801,93.43065302349072,0.5994646847270613,1.419196028214018,4.0,3.01,0.2027,0.2372,0.1763,0.1981,0.1857
xy019c1.tiff,19,3,361,896,4449,259.5218613006978,85.76108589706703,67.11021886891204,0.8300884578008824,1.2779139651531486,1.0,1.82,0.1748,0.2203,0.1794,0.2548,0.1706
xy022c1.tiff,22,1,167,252,2243,456.7949852598665,102.51722003701192,48.14942731904726,0.13508168909764998,2.1291472348718363,2.0,5.63,0.2187,0.2009,0.1977,0.1754,0.2073
xy022c1.tiff,22,2,788,313,9559,585.9259735953043,120.24695623927693,107.48328609162549,0.3498942656381412,1.1187502784085972,1.0,4.71,0.1879,0.1788,0.2004,0.233,0.1999
xy022c1.tiff,22,3,418,292,14805,517.1025971044414,176.66475562926286,112.75453227359337,0.6957686202023303,1.5668084649634697,3.0,1.7,0.174,0.1973,0.2426,0.201,0.185
xy022c1.tiff,22,4,963,318,7191,352.492424049175,132.5936368837263,70.01671258471934,0.7272765391123489,1.8937426792680343,3.0,2.06,0.1764,0.2024,0.2436,0.1929,0.1847
xy022c1.tiff,22,5,1182,340,3480,235.72287142747453,83.9093160619582,53.30578509182333,0.7870198070521259,1.574112751878955,2.0,1.52,0.2154,0.1856,0.209,0.2112,0.1788
xy022c1.tiff,22,6,1110,359,3350,355.8772003600252,100.91643641012108,47.546012830334654,0.3323948912892347,2.122500508512372,5.0,4.97,0.1957,0.1811,0.2179,0.1843,0.2209
xy023c1.tiff,23,1,700,179,25907,650.9676041556469,186.481454649072,177.52793913227597,0.7682600263772247,1.050434402385107,1.0,2.04,0.1744,0.1715,0.1549,0.2994,0.1999
xy023c1.tiff,23,2,142,295,3824,247.6223663640862,86.91566364618366,56.736949635756865,0.7836966828423418,1.531905825113437,3.0,1.63,0.1678,0.2021,0.2296,0.2188,0.1818
xy023c1.tiff,23,3,71,312,4034,299.0782104868018,99.68776909917368,53.557985333019744,0.5667300108739719,1.8613054333414942,3.0,2.73,0.1986,0.1673,0.2438,0.2033,0.1869
xy023c1.tiff,23,4,456,474,13524,454.15642097360376,146.63196181228432,119.4188039943105,0.8239561670755644,1.2278800063955622,1.0,1.56,0.1982,0.1885,0.1584,0.2679,0.187
xy023c1.tiff,23,5,357,578,17525,705.5828278447966,199.14257758203075,135.8179776076618,0.4423559624940875,1.4662460823654369,4.0,3.57,0.1878,0.2488,0.211,0.1781,0.1744
xy023c1.tiff,23,6,847,612,8438,579.4995667241114,136.38186012674532,91.99389228309201,0.3157498507102573,1.4825099443238972,3.0,3.84,0.1983,0.1918,0.2364,0.1798,0.1938
xy023c1.tiff,23,7,996,725,5614,454.26807332528534,109.7282171166708,79.852807826545,0.34186752066803,1.3741309805288335,2.0,6.79,0.21,0.1995,0.2012,0.1831,0.2062
xy024c1.tiff,24,1,954,328,8270,584.9726547895302,182.2196865919781,64.58705075803286,0.3036996165904888,2.821303720379507,3.0,4.41,0.1876,0.1625,0.2381,0.1847,0.2271
xy024c1.tiff,24,2,503,448,10870,644.677236253775,182.8028380109731,90.44989415705497,0.328665968201774,2.021039822264012,3.0,4.41,0.1777,0.209,0.2389,0.1762,0.1983
xy024c1.tiff,24,3,470,566,7982,548.4345955666558,142.17831862909262,82.29213457825868,0.3334816198906797,1.7277267062975867,3.0,3.99,0.1771,0.1858,0.2411,0.1882,0.2078
xy024c1.tiff,24,4,392,621,3085,272.97770542341357,82.58427727467561,57.15479711362127,0.5202483058337145,1.4449229363985254,4.0,3.33,0.2,0.2079,0.2031,0.1836,0.2054
xy024c1.tiff,24,5,718,622,7059,346.6761902332486,98.30149315222263,92.82630023309385,0.7380826819691967,1.0589832074032917,1.0,1.96,0.1713,0.2105,0.1555,0.2551,0.2076
xy026c1.tiff,26,1,652,175,6740,324.9777054234136,104.26133231006911,84.0856687029033,0.8019783137578023,1.2399417631850165,1.0,1.41,0.2218,0.1793,0.1622,0.2444,0.1924
xy026c1.tiff,26,2,1012,318,8922,421.96046148071036,131.70987801997356,91.7543329903802,0.6296925653014392,1.4354622144523939,1.0,2.52,0.2117,0.1699,0.1916,0.2197,0.2072
xy026c1.tiff,26,3,394,697,10151,562.2447327281723,171.0483575837427,87.36295701487184,0.40352263490265133,1.9579048538229429,3.0,4.19,0.174,0.2114,0.2306,0.1838,0.2002
xy027c1.tiff,27,1,262,219,1981,588.6650429449552,102.24016475805416,47.07767502057994,0.07183859771702701,2.1717335172852104,2.0,10.71,0.2094,0.2036,0.1891,0.1955,0.2024
xy027c1.tiff,27,2,210,298,6743,447.6883835420683,143.52227567047032,63.708947712497924,0.4227770192489432,2.252780509233168,5.0,4.18,0.1877,0.1836,0.2172,0.1908,0.2207
xy027c1.tiff,27,3,256,373,4228,489.9015869776647,91.21133873655943,77.9492492958403,0.22137427406340615,1.1701374876669512,1.0,8.12,0.2084,0.1959,0.1817,0.2203,0.1937
xy027c1.tiff,27,4,384,543,3535,228.2081528017131,76.84549246959955,59.74984191148766,0.8529763125909859,1.2861204316395862,1.0,2.1,0.1955,0.1854,0.185,0.2416,0.1926
xy027c1.tiff,27,5,878,956,5564,279.1787155501902,86.05884658025522,82.38765762567361,0.8970824814860564,1.044559938471143,1.0,1.97,0.1806,0.1901,0.1599,0.2866,0.1828
xy028c1.tiff,28,1,520,87,4016,430.7716446627536,121.69229742549344,44.883848058629816,0.2719627046039605,2.7112714860484344,3.0,3.4,0.1803,0.1944,0.2507,0.166,0.2086
xy028c1.tiff,28,2,678,124,7147,475.78888860545663,157.30733876214825,64.92757311134115,0.396739146944548,2.422812546718626,3.0,3.28,0.1894,0.1959,0.2512,0.1626,0.2008
